loc_rowid,pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,sy_dist
4338,LP 791-18 b,LP 791-18,1,2,0.94800500,0.009690,1.120,1.46000,5.710000,0.000000,21.50,650,M(6.1+/-0.7) V,2960.00,0.17,0.14,-0.090,[Fe/H],26.4927000
4339,LP 791-18 c,LP 791-18,1,2,4.98996300,0.029392,2.310,5.95000,2.650000,0.000000,2.35,370,M(6.1+/-0.7) V,2960.00,0.17,0.14,-0.090,[Fe/H],26.4927000
4340,LSPM J2116+0234 b,LSPM J2116+0234,1,1,14.43990000,0.087600,3.710,13.30000,1.430000,0.183000,,,M3.0 V,3475.00,0.43,0.43,-0.050,[Fe/H],17.6297000
4341,LTT 1445 A b,LTT 1445 A,3,2,5.35876570,0.038130,1.305,2.87000,7.100000,0.110000,5.40,424,M2.5V,3340.00,0.27,0.26,-0.340,[Fe/H],6.8692900
4342,LTT 1445 A c,LTT 1445 A,3,2,3.12390350,0.026610,1.147,1.54000,5.570000,0.223000,10.90,508,M2.5V,3340.00,0.27,0.26,-0.340,[Fe/H],6.8692900
4343,LTT 3780 b,LTT 3780,2,2,0.76844800,0.012110,1.332,2.62000,6.100000,0.000000,106.00,892,M4 V,3331.00,0.37,0.40,0.280,[Fe/H],21.9814000
4344,LTT 3780 c,LTT 3780,2,2,12.25190000,0.076730,2.300,8.60000,3.900000,0.060000,2.63,353,M4 V,3331.00,0.37,0.40,0.280,[Fe/H],21.9814000
4345,LTT 9779 b,LTT 9779,1,1,0.79205200,0.016790,4.720,29.32000,1.536000,0.000000,2681.61,1978,G7 V,5443.00,0.95,0.77,0.270,[Fe/H],80.4373000
4346,LkCa 15 b,LkCa 15,1,2,,14.700000,,,,,,,,4194.00,1.61,,0.260,[Fe/H],158.1520000
4347,LkCa 15 c,LkCa 15,1,2,,18.600000,,,,,,,,4194.00,1.61,,0.260,[Fe/H],158.1520000
4348,Lupus-TR-3 b,Lupus-TR-3,1,1,3.91405000,0.046400,9.976,257.43100,1.400000,0.000000,,,,5000.00,0.82,0.87,,,773.4090000
4349,MASCARA-1 b,MASCARA-1,1,1,2.14878000,0.043000,16.814,1175.97100,1.500000,0.000000,,2570,A8,7554.00,2.10,1.72,0.000,[Fe/H],182.2730000
4350,MASCARA-4 b,MASCARA-4,2,1,2.82406000,0.047000,17.150,985.27300,1.070000,0.000000,,2100,A7 V,7800.00,1.92,1.75,0.000,[Fe/H],170.6960000
4351,MOA-2007-BLG-192L b,MOA-2007-BLG-192L,1,1,,0.620000,1.630,3.30000,4.190000,,,,,,,0.06,,,1000.0000000
4352,MOA-2007-BLG-400L b,MOA-2007-BLG-400L,1,1,,6.500000,13.900,260.00000,0.532000,,,103,,,,0.30,,,5800.0000000
4353,MOA-2008-BLG-310L b,MOA-2008-BLG-310L,1,1,,1.100000,5.180,23.40000,0.925000,,,,,,,0.21,,,7700.0000000
4354,MOA-2008-BLG-379L b,MOA-2008-BLG-379L,1,1,,2.700000,13.000,1300.00000,3.250000,,,,K,,,0.56,,,3300.0000000
4355,MOA-2009-BLG-266L b,MOA-2009-BLG-266L,1,1,2774.00000000,3.200000,3.210,10.40000,1.730000,,,,,,,0.56,,,3040.0000000
4356,MOA-2009-BLG-319L b,MOA-2009-BLG-319L,1,1,,2.030000,9.640,67.30000,0.413000,,,,,,,0.52,,,7050.0000000
4357,MOA-2009-BLG-387L b,MOA-2009-BLG-387L,1,1,1982.00000000,1.800000,13.200,830.00000,1.980000,,,,,,,0.19,,,5690.0000000
4358,MOA-2010-BLG-073L b,MOA-2010-BLG-073L,1,1,,1.210000,12.400,3500.00000,10.100000,,,,,,,0.16,,,2800.0000000
4359,MOA-2010-BLG-117L b,MOA-2010-BLG-117L,1,1,,2.420000,14.200,170.00000,0.326000,,,,,,,0.58,,,3500.0000000
4360,MOA-2010-BLG-328L b,MOA-2010-BLG-328L,1,1,,0.920000,2.990,9.20000,1.890000,,,,,,,0.11,,,810.0000000
4361,MOA-2010-BLG-353L b,MOA-2010-BLG-353L,1,1,,1.720000,11.100,86.00000,0.346000,,,,,,,0.18,,,6430.0000000
4362,MOA-2010-BLG-477L b,MOA-2010-BLG-477L,1,1,,2.000000,13.600,480.00000,1.050000,,,,,5950.00,,0.67,,,2300.0000000
4363,MOA-2011-BLG-028L b,MOA-2011-BLG-028L,1,1,,4.140000,5.990,30.00000,0.767000,,,,,,,0.75,,,7380.0000000
4364,MOA-2011-BLG-262L b,MOA-2011-BLG-262L,1,1,,0.950000,4.290,17.00000,1.180000,,,,,,,0.11,,,7200.0000000
4365,MOA-2011-BLG-291L b,MOA-2011-BLG-291L,1,1,,0.690000,4.430,18.00000,1.140000,,,,,,,0.15,,,4400.0000000
4366,MOA-2011-BLG-293L b,MOA-2011-BLG-293L,1,1,547.50000000,1.100000,12.900,1500.00000,3.840000,,,,,,,0.86,,,7720.0000000
4367,MOA-2011-BLG-322L b,MOA-2011-BLG-322L,1,1,,4.300000,12.400,3690.00000,10.600000,,,,,,,0.39,,,7560.0000000
4368,MOA-2012-BLG-006L b,MOA-2012-BLG-006L,1,1,,10.200000,12.600,2700.00000,7.420000,,,,,,,0.49,,,5300.0000000
4369,MOA-2012-BLG-505L b,MOA-2012-BLG-505L,1,1,,0.900000,2.480,6.70000,2.410000,,,,,,,0.10,,,7210.0000000
4370,MOA-2013-BLG-220L b,MOA-2013-BLG-220L,1,1,,3.030000,13.200,871.00000,2.080000,,,,,,,0.88,,,6720.0000000
