pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,st_teff,st_mass,st_met,sy_dist
Kepler-1780 b,Kepler-1780,1,1,109.44499970,0.427600,3.606,12.70000,1.490000,0.000000,5403.00,0.87,0.000,790.5160000
Kepler-1781 b,Kepler-1781,1,1,4.88752985,0.057400,2.381,6.26000,2.550000,0.000000,5568.00,1.05,0.440,962.6300000
Kepler-1782 b,Kepler-1782,1,1,5.75622988,0.058200,2.229,5.60000,2.780000,0.000000,4931.00,0.79,0.000,305.7920000
Kepler-1783 b,Kepler-1783,1,1,8.27744007,0.077000,1.319,2.30000,5.500000,0.000000,5129.00,0.89,-0.160,264.0780000
Kepler-1784 b,Kepler-1784,1,1,13.59049988,0.107200,2.799,8.24000,2.060000,0.000000,5442.00,0.89,0.100,883.0450000
Kepler-1785 b,Kepler-1785,1,1,19.58550072,0.137900,2.704,7.77000,2.160000,0.000000,5618.00,0.91,0.000,745.7400000
Kepler-1786 b,Kepler-1786,1,1,78.54609680,0.365900,3.163,10.10000,1.750000,0.000000,5808.00,1.06,0.140,863.9090000
Kepler-1787 b,Kepler-1787,1,1,39.31370163,0.227000,2.319,5.99000,2.640000,0.000000,6060.00,1.01,-0.220,778.6020000
Kepler-1788 b,Kepler-1788,1,1,2.80012011,0.034300,2.379,6.25000,2.550000,0.000000,4786.00,0.69,-0.200,560.4450000
Kepler-1789 b,Kepler-1789,1,1,80.23190308,0.354300,2.831,8.40000,2.030000,0.000000,5436.00,0.92,0.120,611.4610000
Kepler-179 b,Kepler-179,1,2,2.73592600,0.036000,1.640,3.33000,4.150000,0.000000,5302.00,0.84,0.123,605.6800000
Kepler-179 c,Kepler-179,1,2,6.40013000,0.064000,2.000,4.66000,3.200000,0.000000,5302.00,0.84,0.123,605.6800000
Kepler-1790 b,Kepler-1790,1,1,31.58889961,0.197000,3.145,10.00000,1.770000,0.000000,5866.00,1.02,0.000,1070.1700000
Kepler-1791 b,Kepler-1791,1,1,7.72086000,0.076100,3.121,9.91000,1.790000,0.000000,5887.00,0.98,-0.060,602.2180000
Kepler-1792 b,Kepler-1792,1,1,4.19577980,0.048800,2.520,6.89000,2.370000,0.000000,5229.00,0.88,0.320,601.0290000
Kepler-1793 b,Kepler-1793,1,1,8.77999973,0.078700,3.790,13.80000,1.390000,0.000000,5191.00,0.85,-0.060,1189.8800000
Kepler-1794 b,Kepler-1794,1,1,9.76298046,0.082100,1.794,3.87000,3.680000,0.000000,5052.00,0.77,0.020,561.2290000
Kepler-1795 b,Kepler-1795,1,1,13.36019993,0.100200,1.663,3.40000,4.060000,0.000000,4500.00,0.77,0.280,
Kepler-1796 b,Kepler-1796,1,1,29.45579910,0.187900,2.750,8.00000,2.110000,0.000000,6036.00,1.02,-0.160,825.8830000
Kepler-1797 b,Kepler-1797,1,1,23.35939980,0.163700,3.058,9.58000,1.840000,0.000000,6244.00,1.07,-0.200,1338.4900000
Kepler-1798 b,Kepler-1798,1,1,16.85589981,0.108200,2.309,5.94000,2.650000,0.000000,3967.00,0.59,0.060,395.1960000
Kepler-1799 b,Kepler-1799,1,1,11.92969990,0.102800,4.128,15.90000,1.240000,0.000000,5831.00,1.02,0.000,2254.6900000
Kepler-18 b,Kepler-18,1,3,3.50472500,0.044700,2.000,6.90000,4.900000,0.000000,5345.00,0.97,0.190,433.0470000
Kepler-18 c,Kepler-18,1,3,7.64159000,0.075200,5.490,17.30000,0.590000,0.000000,5345.00,0.97,0.190,433.0470000
Kepler-18 d,Kepler-18,1,3,14.85888000,0.117200,6.980,16.40000,0.270000,0.000000,5345.00,0.97,0.190,433.0470000
Kepler-180 b,Kepler-180,1,2,13.81712400,0.109000,1.500,2.86000,4.660000,0.000000,5731.00,0.95,0.030,695.6500000
Kepler-180 c,Kepler-180,1,2,41.88577500,0.229000,3.010,9.32000,1.880000,0.000000,5731.00,0.95,0.030,695.6500000
Kepler-1800 b,Kepler-1800,1,1,4.56202984,0.059200,0.997,0.96100,5.330000,0.000000,5343.00,1.33,0.080,350.4550000
Kepler-1801 b,Kepler-1801,1,1,10.44089985,0.091500,2.709,7.80000,2.160000,0.000000,5738.00,0.94,-0.060,839.3320000
Kepler-1802 b,Kepler-1802,1,2,15.45020008,0.066200,1.671,3.43000,4.040000,0.000000,4245.00,0.65,0.000,636.6940000
Kepler-1802 c,Kepler-1802,1,2,33.13610077,0.174800,2.322,6.00000,2.630000,0.000000,4245.00,0.65,0.000,636.6940000
Kepler-1804 b,Kepler-1804,1,1,12.28849983,0.101700,1.596,3.18000,4.300000,0.000000,5109.00,0.93,0.100,434.4560000
Kepler-1805 b,Kepler-1805,1,1,8.84794045,0.069900,1.545,3.00000,4.470000,0.000000,3867.00,0.58,0.100,221.6390000
Kepler-1806 b,Kepler-1806,1,1,9.03332043,0.081300,2.356,6.15000,2.590000,0.000000,5311.00,0.88,-0.040,978.0660000
Kepler-1807 b,Kepler-1807,1,1,10.86060047,0.098800,2.704,7.77000,2.160000,0.000000,6455.00,1.09,-0.360,1299.3200000
Kepler-1808 b,Kepler-1808,1,1,23.34040070,0.146700,3.025,9.40000,1.870000,0.000000,5530.00,0.77,-0.340,1022.0100000
Kepler-1809 b,Kepler-1809,1,1,3.75729990,0.043500,1.513,2.90000,4.600000,0.000000,4901.00,0.81,0.040,409.6020000
Kepler-181 b,Kepler-181,1,2,3.13787300,0.040000,1.270,2.15000,5.770000,0.000000,5333.00,0.85,-0.023,609.2830000
Kepler-181 c,Kepler-181,1,2,4.30214900,0.049000,1.990,4.62000,3.220000,0.000000,5333.00,0.85,-0.023,609.2830000
Kepler-1810 b,Kepler-1810,1,1,101.13300320,0.413700,3.918,14.60000,1.330000,0.000000,5492.00,0.92,0.160,1009.8700000
Kepler-1811 b,Kepler-1811,1,1,76.42230225,0.346200,3.848,14.10000,1.360000,0.000000,5561.00,0.95,0.160,1390.5600000
Kepler-1812 b,Kepler-1812,1,1,7.16521978,0.076500,2.325,6.01000,2.630000,0.000000,6174.00,1.16,0.100,1409.1900000
Kepler-1813 b,Kepler-1813,1,1,2.81816006,0.036400,1.413,2.58000,5.030000,0.000000,5167.00,0.81,-0.040,
Kepler-1814 b,Kepler-1814,1,1,2.93535996,0.037100,2.370,6.21000,2.560000,0.000000,4922.00,0.79,0.200,726.3460000
Kepler-1815 b,Kepler-1815,1,1,12.19139957,0.098400,2.749,7.99000,2.110000,0.000000,5516.00,0.86,-0.060,1006.6300000
Kepler-1816 b,Kepler-1816,1,1,91.50099945,0.364800,1.968,4.53000,3.270000,0.000000,5051.00,0.79,-0.240,437.8230000
Kepler-1817 b,Kepler-1817,1,1,44.29919815,0.234800,2.273,5.79000,2.710000,0.000000,5316.00,0.88,0.160,748.5690000
Kepler-1818 b,Kepler-1818,1,1,4.64490986,0.055000,1.714,3.58000,3.910000,0.000000,6047.00,1.02,-0.080,1034.5900000
Kepler-1819 b,Kepler-1819,1,1,16.48690033,0.133700,3.904,14.50000,1.340000,0.000000,6090.00,1.17,0.210,1363.1900000
Kepler-182 b,Kepler-182,1,2,9.82579200,0.096000,2.580,7.18000,2.300000,0.000000,6250.00,1.16,0.072,1549.0900000
Kepler-182 c,Kepler-182,1,2,20.68434200,0.157000,3.430,11.60000,1.580000,0.000000,6250.00,1.16,0.072,1549.0900000
Kepler-1820 b,Kepler-1820,1,1,31.03249931,0.196400,3.119,9.90000,1.790000,0.000000,5841.00,1.05,0.070,1425.3900000
Kepler-1821 b,Kepler-1821,1,1,16.45809937,0.124400,2.592,7.24000,2.280000,0.000000,5475.00,0.95,0.140,799.6990000
Kepler-1822 b,Kepler-1822,1,1,22.13339996,0.141600,2.648,7.50000,2.220000,0.000000,5165.00,0.78,-0.320,897.5970000
Kepler-1823 b,Kepler-1823,1,1,21.10339928,0.152800,2.086,5.00000,3.030000,0.000000,6000.00,1.07,0.060,724.9710000
Kepler-1824 b,Kepler-1824,1,1,95.61100006,0.426700,2.381,6.26000,2.550000,0.000000,6002.00,1.14,0.200,1040.1000000
Kepler-1825 b,Kepler-1825,1,1,1.02586997,0.018700,1.422,2.61000,4.990000,0.000000,5123.00,0.83,0.140,430.2540000
Kepler-1826 b,Kepler-1826,1,1,1.61536002,0.021300,1.475,2.78000,4.760000,0.000000,3821.00,0.49,-0.280,336.9520000
Kepler-1827 b,Kepler-1827,1,1,3.70061994,0.045500,1.856,4.10000,3.520000,0.000000,5423.00,0.92,0.080,686.4610000
Kepler-1828 b,Kepler-1828,1,1,10.27379990,0.092400,2.116,5.13000,2.980000,0.000000,5806.00,1.00,-0.040,871.8100000
Kepler-1829 b,Kepler-1829,1,1,5.18671989,0.055900,2.479,6.71000,2.420000,0.000000,5230.00,0.87,0.000,679.9210000
Kepler-183 b,Kepler-183,1,2,5.68794500,0.064000,2.060,4.90000,3.080000,0.000000,5888.00,0.94,0.101,1050.6400000
Kepler-183 c,Kepler-183,1,2,11.63707100,0.103000,2.270,35.70000,16.800000,0.000000,5888.00,0.94,0.101,1050.6400000
Kepler-1830 b,Kepler-1830,1,1,56.49330139,0.325900,3.330,11.10000,1.650000,0.000000,6160.00,1.44,0.240,1056.8800000
Kepler-1831 b,Kepler-1831,1,1,5.78387022,0.065500,1.970,4.54000,3.260000,0.000000,6063.00,1.12,0.070,1053.4900000
Kepler-1832 b,Kepler-1832,1,1,3.13878989,0.037000,1.227,2.02000,6.010000,0.000000,5242.00,0.68,-0.540,486.1740000
Kepler-1833 b,Kepler-1833,1,1,6.89212990,0.077100,1.300,2.24000,5.600000,0.000000,6164.00,1.29,0.380,591.6020000
Kepler-1834 b,Kepler-1834,1,1,4.60301018,0.049600,1.459,2.73000,4.830000,0.000000,4821.00,0.77,0.160,500.3950000
Kepler-1835 b,Kepler-1835,1,1,11.96409988,0.099700,3.534,12.20000,1.520000,0.000000,5903.00,0.92,-0.260,1404.3800000
Kepler-1836 b,Kepler-1836,1,1,5.25416994,0.060200,2.553,7.05000,2.330000,0.000000,6123.00,1.05,-0.140,1472.6200000
Kepler-1837 b,Kepler-1837,1,1,5.90608978,0.065000,2.067,4.92000,3.060000,0.000000,5966.00,1.05,-0.020,1229.1800000
Kepler-1838 b,Kepler-1838,1,1,12.14680004,0.109600,1.660,3.40000,4.080000,0.000000,5877.00,1.19,0.040,451.2420000
Kepler-1839 b,Kepler-1839,1,1,5.05675983,0.058300,1.949,4.46000,3.310000,0.000000,5926.00,1.03,-0.040,1136.6000000
Kepler-184 b,Kepler-184,1,3,10.68757600,0.092000,2.360,6.17000,2.580000,0.000000,5788.00,0.97,-0.196,610.3260000
Kepler-184 c,Kepler-184,1,3,20.30300500,0.141000,1.970,8.80000,6.320000,0.000000,5788.00,0.97,-0.196,610.3260000
Kepler-184 d,Kepler-184,1,3,29.02235800,0.179000,2.490,6.76000,2.410000,0.000000,5788.00,0.97,-0.196,610.3260000
Kepler-1840 b,Kepler-1840,1,1,131.19000240,0.464400,2.778,8.13000,2.080000,0.000000,4898.00,0.77,0.140,513.1070000
Kepler-1841 b,Kepler-1841,1,1,25.88599968,0.160600,1.489,2.82000,4.690000,0.000000,5190.00,0.82,0.120,631.7000000
Kepler-1842 b,Kepler-1842,1,1,14.02639961,0.116000,2.354,6.14000,2.590000,0.000000,5970.00,1.06,0.060,923.5510000
Kepler-1843 b,Kepler-1843,1,1,25.54339981,0.171000,2.709,7.80000,2.160000,0.000000,5422.00,1.02,0.020,784.6250000
Kepler-1844 b,Kepler-1844,1,1,3.92451000,0.047800,3.036,9.46000,1.860000,0.000000,5776.00,0.94,-0.180,1804.3600000
Kepler-1845 b,Kepler-1845,1,1,11.60649967,0.088500,2.438,6.52000,2.470000,0.000000,4703.00,0.69,-0.140,710.7240000
Kepler-1846 b,Kepler-1846,1,1,14.82009983,0.108900,1.764,3.76000,3.770000,0.000000,4825.00,0.79,0.080,374.6150000
Kepler-1847 b,Kepler-1847,1,1,11.12969971,0.098900,2.745,7.97000,2.120000,0.000000,6122.00,1.04,-0.180,1693.8600000
Kepler-1848 b,Kepler-1848,1,1,5.60402012,0.056300,1.409,2.57000,5.050000,0.000000,4847.00,0.76,0.000,309.6960000
Kepler-1849 b,Kepler-1849,1,1,57.29290009,0.259700,2.387,6.29000,2.540000,0.000000,4806.00,0.71,-0.100,631.8840000
Kepler-185 b,Kepler-185,1,2,1.63290000,0.026000,1.170,1.71000,5.870000,0.000000,5208.00,0.81,0.160,466.7350000
Kepler-185 c,Kepler-185,1,2,20.72904200,0.139000,2.020,4.74000,3.160000,0.000000,5208.00,0.81,0.160,466.7350000
Kepler-1850 b,Kepler-1850,1,1,1.38580000,0.020600,0.729,0.31300,4.440000,0.000000,4239.00,0.61,-0.220,250.1990000
Kepler-1851 b,Kepler-1851,1,1,12.02289963,0.101600,3.900,14.50000,1.340000,0.000000,5982.00,0.97,-0.280,1589.8100000
Kepler-1852 b,Kepler-1852,1,1,7.97094011,0.076200,1.886,4.22000,3.460000,0.000000,5237.00,0.93,0.240,772.4810000
Kepler-1853 b,Kepler-1853,1,1,48.88819885,0.239500,1.519,2.92000,4.580000,0.000000,4821.00,0.77,0.160,562.3480000
Kepler-1854 b,Kepler-1854,1,1,39.83110046,0.211900,2.587,7.21000,2.290000,0.000000,5026.00,0.80,0.000,423.3480000
Kepler-1855 b,Kepler-1855,1,1,0.72733098,0.011500,1.216,1.96000,5.990000,0.000000,3460.00,0.39,0.070,
Kepler-1856 b,Kepler-1856,1,1,1.30200005,0.021500,1.734,3.66000,3.850000,0.000000,4948.00,0.78,0.140,848.7600000
Kepler-1857 b,Kepler-1857,1,1,8.94340992,0.080700,1.961,4.50000,3.280000,0.000000,6074.00,0.87,-0.540,853.2750000
Kepler-1858 b,Kepler-1858,1,1,88.07160187,0.357500,2.422,6.44000,2.490000,0.000000,4939.00,0.79,0.160,833.0550000
Kepler-1859 b,Kepler-1859,1,1,2.72959995,0.039400,1.583,3.13000,4.330000,0.000000,5887.00,1.09,0.160,1331.2500000
Kepler-186 b,Kepler-186,1,5,3.88679070,0.034300,1.070,1.24000,5.560000,0.000000,3788.00,0.48,-0.280,177.5940000
Kepler-186 c,Kepler-186,1,5,7.26730200,0.045100,1.250,2.10000,5.910000,0.000000,3788.00,0.48,-0.280,177.5940000
Kepler-186 d,Kepler-186,1,5,13.34299600,0.078100,1.400,2.54000,5.090000,0.000000,3788.00,0.48,-0.280,177.5940000
Kepler-186 e,Kepler-186,1,5,22.40770400,0.110000,1.270,2.15000,5.770000,0.000000,3788.00,0.48,-0.280,177.5940000
