pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,st_teff,st_mass,st_met,sy_dist,exo_class,exo_class_ext
Kepler-806 b,Kepler-806,1,1,8.09219642,0.0764,1.14,1.55,5.75,0.0,5770.0,0.99,0.0,361.896,Super-Earth,Super-Earth
Kepler-807 b,Kepler-807,1,1,117.93108781,0.4884,10.42,76.8,0.373,0.0,5965.0,1.04,-0.04,1492.95,Gas giant,Gas giant
Kepler-808 b,Kepler-808,1,1,0.63133235,0.0116,1.46,2.73,4.82,0.0,4653.0,0.76,0.05,321.0,Super-Earth,Super-Earth
Kepler-809 b,Kepler-809,1,1,55.63934,0.2901,3.01,9.32,1.88,0.0,5734.0,0.99,0.04,961.405,Neptune-like,Neptune-like
Kepler-81 b,Kepler-81,1,3,5.955,0.0522,2.42,17.2,6.67,0.0,4385.0,0.64,-0.18,348.291,Neptune-like,Neptune-like
Kepler-81 c,Kepler-81,1,3,12.04,0.08347,2.37,4.3,1.77,0.0,4385.0,0.64,-0.18,348.291,Super-Earth,Super-Earth
Kepler-81 d,Kepler-81,1,3,20.837846,0.128,1.21,1.92,5.96,0.0,4500.0,0.65,-0.18,348.291,Super-Earth,Super-Earth
Kepler-810 b,Kepler-810,1,1,4.59725385,0.055,1.93,4.38,3.35,0.0,5803.0,1.03,0.1,1458.59,Super-Earth,Super-Earth
Kepler-811 b,Kepler-811,1,1,23.58447697,0.1583,2.7,7.75,2.16,0.0,5747.0,1.01,0.05,985.041,Neptune-like,Neptune-like
Kepler-812 b,Kepler-812,1,1,10.11716531,0.1024,3.55,12.3,1.51,0.0,6761.0,1.45,0.02,1482.74,Neptune-like,Neptune-like
Kepler-813 b,Kepler-813,1,1,19.12947337,0.1439,2.14,5.22,2.93,0.0,5743.0,0.95,-0.13,840.0,Super-Earth,Super-Earth
Kepler-814 b,Kepler-814,1,1,6.1469851,0.0695,2.12,5.14,2.96,0.0,6162.0,1.15,0.01,2055.77,Super-Earth,Super-Earth
Kepler-815 b,Kepler-815,1,1,8.57503552,0.0888,4.11,15.8,1.25,0.0,5028.0,1.25,-0.03,1259.28,Neptune-like,Neptune-like
Kepler-816 b,Kepler-816,1,1,10.50682565,0.0895,10.24,74.5,0.381,0.0,5286.0,0.9,0.16,983.697,Gas giant,Gas giant
Kepler-817 b,Kepler-817,1,1,3.99010623,0.0493,9.03,60.2,0.449,0.0,5861.0,1.03,0.02,1484.46,Gas giant,Hot Jupiter
Kepler-818 b,Kepler-818,1,1,10.03538581,0.0886,5.11,22.9,0.943,0.0,5638.0,0.94,-0.08,925.037,Neptune-like,Neptune-like
Kepler-819 b,Kepler-819,1,1,33.1995648,0.1894,2.76,8.05,2.1,0.0,5279.0,0.86,-0.06,664.306,Neptune-like,Neptune-like
Kepler-82 b,Kepler-82,1,5,26.44,0.1683,4.07,12.15,0.98,0.0033,5529.0,0.91,0.211,904.326,Neptune-like,Neptune-like
Kepler-82 c,Kepler-82,1,5,51.54,0.2626,5.34,13.9,0.494,0.007,5529.0,0.91,0.211,904.326,Neptune-like,Neptune-like
Kepler-82 d,Kepler-82,1,5,2.382961,0.034,1.77,3.78,3.75,0.0,5428.0,0.96,0.211,904.326,Super-Earth,Super-Earth
Kepler-82 e,Kepler-82,1,5,5.902206,0.063,2.47,6.66,2.43,0.0,5428.0,0.96,0.211,904.326,Neptune-like,Neptune-like
Kepler-82 f,Kepler-82,1,5,75.732,0.3395,4.84,20.9,1.01,0.0014,5529.0,0.91,0.211,904.326,Neptune-like,Neptune-like
Kepler-820 b,Kepler-820,1,1,127.8338098,0.5829,6.09,30.8,0.749,0.0,6260.0,1.23,0.09,1387.2,Neptune-like,Neptune-like
Kepler-821 b,Kepler-821,1,1,1.92279873,0.029,1.31,2.27,5.55,0.0,5191.0,0.84,-0.03,614.571,Super-Earth,Super-Earth
Kepler-822 b,Kepler-822,1,1,3.22296927,0.0412,1.77,3.78,3.75,0.0,5928.0,1.06,0.04,860.391,Super-Earth,Super-Earth
Kepler-823 b,Kepler-823,1,1,4.16809082,0.0507,1.57,3.09,4.39,0.0,5643.0,0.98,0.06,1389.27,Super-Earth,Super-Earth
Kepler-824 b,Kepler-824,1,1,4.51436633,0.055,1.87,4.16,3.5,0.0,6035.0,1.15,0.14,1201.4,Super-Earth,Super-Earth
Kepler-825 b,Kepler-825,1,2,3.77360059,0.0453,1.53,2.96,4.54,0.0,5976.0,1.03,-0.08,807.85,Super-Earth,Super-Earth
Kepler-825 c,Kepler-825,1,2,8.1818246,0.0759,1.84,4.04,3.56,0.0,5976.0,1.03,-0.08,807.85,Super-Earth,Super-Earth
Kepler-826 b,Kepler-826,1,1,4.48758907,0.0528,1.25,2.1,5.91,0.0,6079.0,1.05,-0.12,779.596,Super-Earth,Super-Earth
Kepler-827 b,Kepler-827,1,1,51.92927591,0.2742,5.63,27.0,0.831,0.0,5602.0,0.93,-0.06,2046.68,Neptune-like,Neptune-like
Kepler-828 b,Kepler-828,1,1,0.56785714,0.0125,1.51,2.89,4.61,0.0,5039.0,0.81,-0.02,575.322,Super-Earth,Super-Earth
Kepler-829 b,Kepler-829,1,1,6.88337562,0.0678,2.11,5.1,2.98,0.0,5698.0,0.98,0.03,1073.76,Super-Earth,Super-Earth
Kepler-83 b,Kepler-83,2,3,9.77,0.07295,2.83,42.1,10.2,0.0,4082.0,0.66,-0.2,400.409,Neptune-like,Neptune-like
Kepler-83 c,Kepler-83,2,3,20.09,0.11796,2.36,11.4,4.77,0.0,4082.0,0.66,-0.2,400.409,Neptune-like,Neptune-like
Kepler-83 d,Kepler-83,2,3,5.169796,0.051,1.94,24.6,18.5,0.0,4648.0,0.58,-0.2,400.409,Neptune-like,Neptune-like
Kepler-830 b,Kepler-830,1,1,11.29695137,0.1033,1.7,3.53,3.95,0.0,6037.0,1.07,-0.02,1122.0,Super-Earth,Super-Earth
Kepler-831 b,Kepler-831,1,1,5.62153941,0.0603,1.27,2.15,5.77,0.0,5732.0,0.99,0.02,593.54,Super-Earth,Super-Earth
Kepler-832 b,Kepler-832,1,1,7.1396941,0.075,2.06,4.9,3.08,0.0,5596.0,0.92,-0.08,1688.12,Super-Earth,Super-Earth
Kepler-833 b,Kepler-833,1,1,18.7546998,0.1139,2.02,4.74,3.16,0.0,4339.0,0.64,-0.18,467.37,Super-Earth,Super-Earth
Kepler-834 b,Kepler-834,1,1,13.32388301,0.0862,2.02,4.74,3.16,0.0,4554.0,0.7,-0.13,633.937,Super-Earth,Super-Earth
Kepler-835 b,Kepler-835,1,1,11.41909375,0.107,2.79,8.2,2.07,0.0,5954.0,1.08,0.08,2406.33,Neptune-like,Neptune-like
Kepler-836 b,Kepler-836,1,1,11.36112327,0.1013,2.73,7.9,2.13,0.0,5895.0,1.03,-0.01,980.035,Neptune-like,Neptune-like
Kepler-837 b,Kepler-837,1,1,16.56059504,0.1144,2.56,7.08,2.32,0.0,5403.0,0.85,-0.18,901.907,Neptune-like,Neptune-like
Kepler-838 b,Kepler-838,1,1,15.74957994,0.1266,2.73,7.9,2.13,0.0,5770.0,0.98,-0.06,1104.04,Neptune-like,Neptune-like
Kepler-839 b,Kepler-839,1,1,37.8144514,0.2341,2.57,7.13,2.31,0.0,6058.0,1.22,0.29,944.561,Neptune-like,Neptune-like
Kepler-84 b,Kepler-84,1,5,8.726,0.0827,2.23,40.0,19.8,0.0,6039.0,1.0,-0.07,1023.9,Neptune-like,Neptune-like
Kepler-84 c,Kepler-84,1,5,12.883,0.1072,2.36,20.2,8.44,0.0,6039.0,1.0,-0.07,1023.9,Neptune-like,Neptune-like
Kepler-84 d,Kepler-84,1,5,4.224537,0.052,1.38,2.48,5.19,0.0,6031.0,1.06,-0.07,1023.9,Super-Earth,Super-Earth
Kepler-84 e,Kepler-84,1,5,27.434389,0.181,2.6,7.27,2.27,0.0,6031.0,1.06,-0.07,1023.9,Neptune-like,Neptune-like
Kepler-84 f,Kepler-84,1,5,44.552169,0.25,2.2,5.48,2.83,0.0,6031.0,1.06,-0.07,1023.9,Super-Earth,Super-Earth
Kepler-840 b,Kepler-840,1,1,2.49577962,0.0355,17.07,43000.0,47.5,0.0,5920.0,1.04,0.0,1122.19,Gas giant,Hot Jupiter
Kepler-841 b,Kepler-841,1,1,124.4198398,0.479,5.23,23.8,0.914,0.0,5324.0,0.85,-0.09,998.961,Neptune-like,Neptune-like
Kepler-842 b,Kepler-842,1,1,1.21956827,0.0204,1.6,3.19,4.28,0.0,4848.0,0.78,-0.02,532.726,Super-Earth,Super-Earth
Kepler-843 b,Kepler-843,1,1,2.05387982,0.0313,2.59,7.22,2.28,0.0,5830.0,1.02,0.05,1165.66,Neptune-like,Hot Neptune
Kepler-844 b,Kepler-844,1,1,2.61302086,0.0298,1.68,3.46,4.01,0.0,4128.0,0.59,-0.24,431.776,Super-Earth,Super-Earth
Kepler-845 b,Kepler-845,1,1,0.92785982,0.017,2.04,4.82,3.12,0.0,4913.0,0.79,0.01,431.051,Super-Earth,Super-Earth
Kepler-846 b,Kepler-846,1,1,19.80792185,0.1399,2.48,6.71,2.42,0.0,5579.0,0.94,0.0,1127.12,Neptune-like,Neptune-like
Kepler-847 b,Kepler-847,1,1,2.3432319,0.0315,1.18,1.76,5.89,0.0,4940.0,0.83,0.15,513.103,Super-Earth,Super-Earth
